NAMA PERGURUAN TINGGI,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2025,PEMINAT 2024,JENIS PORTOFOLIO
UNIVERSITAS TEUKU UMAR,11131023,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,32,71,Tidak Ada
UNIVERSITAS TEUKU UMAR,11131024,BAHASA DAN KEBUDAYAAN INGGRIS,Sarjana,24,0,Tidak Ada
UNIVERSITAS SAMUDRA,11141001,AGROTEKNOLOGI,Sarjana,60,113,Tidak Ada
UNIVERSITAS SAMUDRA,11141002,AGRIBISNIS,Sarjana,75,175,Tidak Ada
UNIVERSITAS SAMUDRA,11141003,AKUAKULTUR,Sarjana,30,10,Tidak Ada
UNIVERSITAS SAMUDRA,11141004,PENDIDIKAN MATEMATIKA,Sarjana,15,48,Tidak Ada
UNIVERSITAS SAMUDRA,11141005,PENDIDIKAN FISIKA,Sarjana,15,14,Tidak Ada
UNIVERSITAS SAMUDRA,11141006,PENDIDIKAN KIMIA,Sarjana,15,29,Tidak Ada
UNIVERSITAS SAMUDRA,11141007,PENDIDIKAN BIOLOGI,Sarjana,45,73,Tidak Ada
UNIVERSITAS SAMUDRA,11141008,TEKNIK MESIN,Sarjana,55,85,Tidak Ada
UNIVERSITAS SAMUDRA,11141009,TEKNIK SIPIL,Sarjana,75,93,Tidak Ada
UNIVERSITAS SAMUDRA,11141010,TEKNIK INDUSTRI,Sarjana,60,110,Tidak Ada
UNIVERSITAS SAMUDRA,11141011,INFORMATIKA,Sarjana,90,368,Tidak Ada
UNIVERSITAS SAMUDRA,11141012,MATEMATIKA,Sarjana,15,20,Tidak Ada
UNIVERSITAS SAMUDRA,11141013,FISIKA,Sarjana,15,6,Tidak Ada
UNIVERSITAS SAMUDRA,11141014,KIMIA,Sarjana,15,12,Tidak Ada
UNIVERSITAS SAMUDRA,11141015,BIOLOGI,Sarjana,15,16,Tidak Ada
UNIVERSITAS SAMUDRA,11141016,HUKUM,Sarjana,120,214,Tidak Ada
UNIVERSITAS SAMUDRA,11141017,EKONOMI MANAJEMEN,Sarjana,120,360,Tidak Ada
UNIVERSITAS SAMUDRA,11141018,EKONOMI PEMBANGUNAN,Sarjana,40,69,Tidak Ada
UNIVERSITAS SAMUDRA,11141019,PENDIDIKAN SEJARAH,Sarjana,40,133,Tidak Ada
UNIVERSITAS SAMUDRA,11141020,PENDIDIKAN GEOGRAFI,Sarjana,60,108,Tidak Ada
UNIVERSITAS SAMUDRA,11141021,PENDIDIKAN JASMANI,Sarjana,60,101,Olahraga
UNIVERSITAS SAMUDRA,11141022,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,155,700,Tidak Ada
UNIVERSITAS SAMUDRA,11141023,PENDIDIKAN BAHASA INGGRIS,Sarjana,40,78,Tidak Ada
UNIVERSITAS SAMUDRA,11141024,PENDIDIKAN BAHASA INDONESIA,Sarjana,60,199,Tidak Ada
UNIVERSITAS SAMUDRA,11141025,AKUNTANSI,Sarjana,60,147,Tidak Ada
UNIVERSITAS SAMUDRA,11141026,GEOFISIKA,Sarjana,15,6,Tidak Ada
UNIVERSITAS SAMUDRA,11141027,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,15,0,Tidak Ada
UNIVERSITAS SAMUDRA,11141028,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,15,0,Tidak Ada
UNIVERSITAS SAMUDRA,11141029,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,15,0,Tidak Ada
ISBI ACEH,11151001,SENI KARAWITAN,Sarjana,21,7,Seni Karawitan
ISBI ACEH,11151002,SENI TARI,Sarjana,21,31,Tari
ISBI ACEH,11151003,SENI TEATER,Sarjana,14,1,Teater
ISBI ACEH,11151004,SENI RUPA MURNI,Sarjana,21,10,"Seni Rupa, Desain, dan Kriya"
ISBI ACEH,11151005,KRIYA SENI,Sarjana,21,9,"Seni Rupa, Desain, dan Kriya"
ISBI ACEH,11151006,DESAIN KOMUNIKASI VISUAL,Sarjana,28,22,"Seni Rupa, Desain, dan Kriya"
ISBI ACEH,11151007,KAJIAN SASTRA BUDAYA,Sarjana,14,6,Tidak Ada
ISBI ACEH,11151008,BAHASA ACEH,Sarjana,14,2,Tidak Ada
ISBI ACEH,11151009,DESAIN INTERIOR,Sarjana,28,19,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS SUMATERA UTARA,11211001,PENDIDIKAN DOKTER,Sarjana,55,1480,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211002,TEKNIK SIPIL,Sarjana,38,819,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211003,TEKNIK MESIN,Sarjana,38,741,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211004,TEKNIK ELEKTRO,Sarjana,32,573,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211005,TEKNIK INDUSTRI,Sarjana,40,1185,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211006,TEKNIK KIMIA,Sarjana,30,531,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211007,PENDIDIKAN DOKTER GIGI,Sarjana,33,852,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211008,MATEMATIKA,Sarjana,40,330,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211009,KIMIA,Sarjana,40,295,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211010,FARMASI,Sarjana,44,1809,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211011,FISIKA,Sarjana,40,124,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211012,ILMU KESEHATAN MASYARAKAT,Sarjana,88,1667,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211013,AGROEKOTEKNOLOGI,Sarjana,75,1087,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211014,KETEKNIKAN PERTANIAN,Sarjana,25,445,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211015,BIOLOGI,Sarjana,40,302,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211016,AGRIBISNIS,Sarjana,50,1090,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211017,ILMU DAN TEKNOLOGI PANGAN,Sarjana,25,578,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211018,PETERNAKAN,Sarjana,72,423,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211019,ARSITEKTUR,Sarjana,25,483,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211020,ILMU KEPERAWATAN,Sarjana,60,1382,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211021,KEHUTANAN,Sarjana,80,819,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211022,ILMU KOMPUTER,Sarjana,33,1689,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211023,TEKNOLOGI INFORMASI,Sarjana,33,1328,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211024,MANAJEMEN SUMBER DAYA PERAIRAN,Sarjana,25,316,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211025,TEKNIK LINGKUNGAN,Sarjana,18,315,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211026,GIZI,Sarjana,22,520,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211027,ILMU HUKUM,Sarjana,132,2119,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211028,ILMU SEJARAH,Sarjana,48,184,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211029,ANTROPOLOGI SOSIAL,Sarjana,30,286,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211030,AKUNTANSI,Sarjana,55,1511,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211031,SOSIOLOGI,Sarjana,42,360,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211032,ILMU KESEJAHTERAAN SOSIAL,Sarjana,30,409,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211033,ILMU ADMINISTRASI NEGARA,Sarjana,27,799,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211034,ILMU KOMUNIKASI,Sarjana,27,1250,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211035,MANAJEMEN,Sarjana,55,2300,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211036,EKONOMI PEMBANGUNAN,Sarjana,44,669,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211037,ILMU POLITIK,Sarjana,30,425,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211038,SASTRA INDONESIA,Sarjana,53,272,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211039,SASTRA DAERAH UNTUK SASTRA MELAYU,Sarjana,40,15,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211040,SASTRA INGGRIS,Sarjana,83,714,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211041,SASTRA DAERAH UNTUK SASTRA BATAK,Sarjana,50,20,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211042,SASTRA ARAB,Sarjana,68,174,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211043,ETNO MUSIKOLOGI,Sarjana,40,51,Etnomusikologi
UNIVERSITAS SUMATERA UTARA,11211044,SASTRA JEPANG,Sarjana,20,277,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211045,ILMU PERPUSTAKAAN,Sarjana,40,362,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211046,SASTRA CINA,Sarjana,20,80,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211047,ILMU ADMINISTRASI NIAGA/BISNIS,Sarjana,27,1031,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211048,PSIKOLOGI,Sarjana,63,1661,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11211049,KEWIRAUSAHAAN,Sarjana,14,356,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11212064,PERBANKAN DAN KEUANGAN,Sarjana Terapan,40,0,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11212065,ADMINISTRASI PERKANTORAN DIGITAL,Sarjana Terapan,32,0,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11212066,AKUNTANSI SEKTOR PUBLIK,Sarjana Terapan,44,0,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11212067,STATISTIKA,Sarjana Terapan,40,0,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11212068,KIMIA TERAPAN,Sarjana Terapan,32,0,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11212069,MANAJEMEN BISNIS PARIWISATA,Sarjana Terapan,40,0,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11212070,TEKNOLOGI REKAYASA INSTRUMENTASI,Sarjana Terapan,40,0,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11213050,METROLOGI DAN INSTRUMENTASI,Diploma Tiga,34,45,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11213054,ADMINISTRASI PERPAJAKAN,Diploma Tiga,40,394,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11213056,BAHASA JEPANG,Diploma Tiga,20,48,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11213058,ANALIS FARMASI DAN MAKANAN,Diploma Tiga,24,201,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11213059,BAHASA INGGRIS,Diploma Tiga,40,87,Tidak Ada
UNIVERSITAS SUMATERA UTARA,11213060,TEKNIK INFORMATIKA,Diploma Tiga,40,506,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221001,PENDIDIKAN MATEMATIKA,Sarjana,51,595,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221002,PENDIDIKAN BIOLOGI,Sarjana,55,566,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221003,PENDIDIKAN FISIKA,Sarjana,82,232,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221004,PENDIDIKAN KIMIA,Sarjana,106,340,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221005,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,55,87,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221006,PENDIDIKAN TEKNIK MESIN,Sarjana,55,197,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221007,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,50,68,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221008,KIMIA,Sarjana,47,163,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221009,BIOLOGI,Sarjana,66,298,Tidak Ada
UNIVERSITAS NEGERI MEDAN,11221010,ILMU KEOLAHRAGAAN,Sarjana,91,166,Olahraga
